year,month,iprod,iprod_construction,cpi,cpi_energy,neer,eurostox,spr_nfc_bund_ea,spr_bk_bund_ea,ice,unemp,r1y_au,r1y_ca,r1y_gb,r1y_jp,r1y_ko,r1y_se,r1y_us,r1y_eu,rstar,fx_au,fx_ca,fx_gb,fx_jp,fx_kr,fx_se,fx_us,neer_ex_au,neer_ex_ca,neer_ex_gb,neer_ex_jp,neer_ex_kr,neer_ex_se,neer_ex_us,gdp,def,jk_gdp,jk_def,mp_poor,cbi_poor,mp,cbi,s,i_tot
2007,4,471.492104994721,465.871095291612,447.824549241442,448.672443078161,467.920379823433,837.349520798462,0.4979718,0.3675521,2.05,7.6,6.256,4.333,5.57135622432183,0.669,5.15,3.6091,4.93,4.161,4.3993330385036,49.102679545381,42.7540077534966,-38.6040472556426,507.915603233962,713.70988647701,222.334394564768,30.0839587493027,465.880369651678,466.206767523907,469.689254084396,463.832686731132,466.399535002911,465.826742596714,460.359220541542,1476.40423823979,450.526345507797,1470.5054,456.40533,-0,-0.494417308472814,0.681570521769781,-1.17598783024259,-0.3214999202239,-0.150000000000006
2007,5,473.180283692146,467.656018207476,448.040029903214,448.807441411184,468.103340251302,839.949642953816,0.5055483,0.3618788,1.87,7.6,6.314,4.606,5.74053892157345,0.683,5.129,3.7799,4.91,4.326,4.47002507209474,49.3593144312398,39.1437692159149,-38.3935242341458,509.513455192218,713.41566289089,222.053045595296,30.0890656317607,466.052271183064,466.507748390622,469.844639051671,463.833837662136,466.600631509687,466.039027738917,460.636719526951,1476.07960257013,450.640054310058,1470.0623,456.53156,-0,-0.652816326309708,-0.0399257249335596,-0.612890601376148,-0.11738420423022,-1.29999999999999
2007,6,473.003916803396,467.656018207476,448.18719696436,448.919800973567,467.680223843784,840.519100192452,0.5401089,0.3485577,2.26,7.5,6.489,4.702,5.8304516159915,0.727,5.205,3.8342,4.96,4.407,4.53611237202568,46.6195757086737,35.830990759941,-39.2349283313111,510.405623154682,712.781876945099,223.3052416935,29.4325289837996,465.693886139961,466.206449986941,469.632014623948,463.259416882423,466.214428820379,465.496712582425,460.337519727897,1476.18258940897,450.779636751345,1470.8947,456.67972,-0,-1.10409958784323,-0.336205685090209,-0.767893902753022,-0.110733823750842,-1.95000000000007
2007,7,473.092139129365,467.842064772768,448.390609849505,449.088103958596,468.395271535499,840.044020507686,0.7094241,0.486371,3.5,7.5,6.559,4.773,5.76660484533748,0.783,5.288,3.9089,4.96,4.382,4.53741385060443,45.837472484877,36.6072081737318,-39.3955507279635,511.586767520769,713.852085391352,221.797129405622,31.6125443684523,466.397996257716,466.877620068308,470.642659099366,463.894838989857,466.866278814064,466.360690448137,460.274160646422,1476.56505360054,450.9419940361,1470.3601,456.86023,0.0436514846839321,0,0.395939243767219,-0.352287759083287,-0.120659650220034,0.74999999999994
2007,8,473.795129722191,468.490515400694,448.480882931691,449.289694350531,467.961602962824,834.773857140862,0.7941833,0.6590989,4.1,7.5,6.416,4.328,5.5891885533732,0.712,5.416,3.8683,4.47,4.096,4.29017486695815,49.7186278624288,36.5716641602843,-38.9695955924237,506.856394692863,714.952278885915,223.274538082958,30.8976259570462,465.908852148861,466.456383948158,469.8951857653,464.009171188243,466.365925559248,465.79029966015,459.988809875808,1476.58847740276,451.147384534695,1471.0854,457.03506,-0,-0.501752506844396,-0.15062606573629,-0.351126441108107,-0.0510285526303278,-0.300000000000011
2007,9,473.707525686803,468.02776584749,448.694955460066,449.468545281282,469.069353975343,836.274230986628,0.8622277,0.7073683,3.68,7.4,6.492,4.209,5.28319429710432,0.673,5.481,3.8378,4.14,4.035,4.07443551454964,49.7141961598614,35.611208085023,-37.2356950862014,507.548311587521,716.421200048301,222.780797556773,33.0103261669177,466.973247535615,467.564039581579,470.64208374361,465.124253989603,467.383747862062,466.968784910598,460.564056938784,1476.84331041822,451.418347342141,1471.4116,457.27786,-3.89853973701362,-0,-3.99433342330954,0.0957936862959263,0.526312026752507,-3.14999999999994
2007,10,473.97010789457,468.859179412716,449.043250851767,449.780766765959,470.244570597285,839.632396837889,0.8660342,0.7138371,3.7,7.4,6.736,4.287,5.33457821587272,0.653,5.394,3.9122,4.1,4.161,4.08250400173746,45.969427488514,32.8050324735438,-36.2443452766068,510.541868972491,717.196995105579,221.65967400278,35.2713372762848,468.157565617986,468.784959109677,471.773170948764,466.019451817743,468.498599130932,468.253040125162,461.160375626193,1477.25403933794,451.769685790803,1471.6265,457.57089,-0,-0.416670193542413,-9.90955084696314e-05,-0.416571098033943,-0.0832170679183619,-0.649999999999995
2007,11,473.356340075649,468.213122712422,449.635928012991,450.069816439138,471.877204826458,836.982393566744,1.120257,0.9335823,4.94,7.4,6.688,3.96,4.96787411325303,0.605,5.815,4.0215,3.5,4.02,3.77632604309576,49.4773776413712,35.1670004662377,-34.3854770257746,509.338871260639,720.791061558305,222.882016152326,38.4574984115633,469.625519255341,470.253111576762,473.130939093599,467.891828694286,469.880511745181,469.785972081389,461.959311864855,1477.11392703325,452.054544936694,1471.6749,457.82285,-0,-2.3364309701491,-0.360219955529767,-1.97621101461934,-0.349102776992005,-2.74999999999999
2007,12,473.795129722191,468.767140749983,449.780766765959,450.269439439886,472.402020776783,838.618273285134,1.105257,0.8398617,4.91,7.4,6.719,3.86,4.75619851868517,0.578,5.912,4.1215,3.26,4.067,3.63497970480509,51.2246916857926,37.7645377130092,-32.5418905837275,509.831765247237,721.286937165209,224.386455392379,37.5751172269388,470.08191626518,470.660926058393,473.065631020656,468.381939636854,470.358957082191,470.184421307992,463.205690294909,1477.20617643584,452.183168220766,1471.1481,457.94559,2.32953633345558,0,2.59256449693297,-0.263028163477393,-0.381738081675564,4.8
2008,1,475.18645651389,469.592454925656,450.225113198025,450.579174200781,473.170591592521,830.451612485356,1.302218,1.039919,6.63,7.4,6.753,3.248,4.53935148007951,0.493,5.089,3.9451,2.71,3.7,3.28235692713365,51.1946134341912,39.7662994426937,-29.200459681729,506.722767085991,723.483708441153,224.381335876662,38.6153483687113,470.791955999455,471.313240292673,472.712342772323,469.5460489051,470.970788710008,470.941530361976,463.811540506818,1477.74098219823,452.245955408224,1471.774,458.05142,-0,-0.375546646902169,0.675037202320494,-1.05058384922266,-0.295615027060769,-0.200000000000067
